no,komentar
43,"17500 baik2 saja, 17600 baik2 saja, 17700 baik2 saja, 22000_______________________"
44,"Mbg tetap jalan, aman"
45,"Jika tembus 22.000, rupiah masih cukup bagus, taeek"
46,Mahasiswa mana mahasiswa .........
47,"Yang penting tembus 17.845 dulu secepetnya, baru incer target lainnya.. 🔥🔥🔥"
48,Soros klu ingin menurunkan mata uang suatu negara hanya memberikan doktrin ke rakyat tersebut agar melawan pemerintahnya sendiri dgn begitu otomatis mata uang akan melemah dgn sendirinya sama seperti Vietnam yg mata uangnya terendah se asia tenggara krn rakyat Vietnam pernah melawan pemerintah sendiri dan mengakibatkan perang saudara bertahun tahun
49,Prestasi yang harus diapresiasi 😀
50,Yuk bisa naik lagi yukkkk
51,"17.500 per 1 USD adalah batas psikologis pasar, bila itu terlampaui tidak ada lagi trust, orang tdk berani simpan dlm Rupiah krn akan semakin merosot nilainya."
52,"Mari siapkan BST ,seaman Book, paspor ga ngiler apaa @respitoe , @_robsandy , @jkz_ahmad_nurdin"
53,KEGAGALAN TERBESAR setelah 80 TAHUN MERDEKA: GAGAL MEMBANGUN SDM. ❌️ Konoha --> SDM RENDAH: DOYAN KORUPSI-KOLUSI-NEPOTISME + SISTEM & PENEGAKAN HUKUM yang DISFUNGSI + IQ RENDAH + PRODUKTIVITAS & KREATIVITAS RENDAH + BERMENTAL INFERIOR COMPLEX + ANTI KEDISIPLINAN + ANTI SAINS + DOYAN BERKEMBANG BIAK + DOYAN MERUSAK LINGKUNGAN = NEGARA GAGAL. 😏 #TrutHurts
54,"Acak acakan pak , ampun pak @prabowo 😢😢😢"
55,kata purbaya tenang aja...nanti kita ngutang...
56,Negara kaya SDA tapi miskin kurs
57,Maksain sih MBG ngabisin duit negara😂
58,nggak da masalah Krn orang desa nggak pake dolar ... 😂
59,Nanggung kenapa gak ke 25 rb aja.....?
60,Mantab...kalau hanya 22 rb..mending 25 rb.....lebih manteb
61,Mantap 🔥🔥🔥🔥 menyalaa rupiah qu 🔥🔥🔥 gass trusss jgn kasih kendor 😂😂😂😂
62,NEGARA KESATUAN SUMATERA RAYA!!!!
63,REPUBLIC DEMOCRATIC OF SUMATRA!!!
64,Mantap. Meledak meletup yang pegang banyak Dollar AS
65,GPP . Ingat pidato Prabowo Subianto ! Petani Indonesia Ng pake dollar ! Apabila benar pernyataan Purbaya ! Mengusir semua investor dari Indonesia! Karena apa ??????😂😂😂😂
66,Parah Indonesia bisa rusuh nih dolar 22.000
67,Kalo keos ya pjabat tingal kabur.. Apalagi si wokwok
68,Biar sampe 220 ribu juga gak pa. Kan kita di desa
69,"Semoga bisa tembus Rp 45,000/$ makin naik lagi spy gaji kami bisa di nikmati"
70,Yg di desa aman
71,banyak yg ketawa tapi ya bisa jadi itu tembus meroket diatas 20.000 😬
72,Dolar itu hanya untuk kalangan org2 kaya yg suka beli barang2 impor.. bakar doLaarr.. bakaarr🔥
73,haduhh.. .. Buka mata pak bu.. Mengapa indonesia mau berperang atas dolar..kagak paham program presiden toh...tuhh ada kanal kanal aduan resmi pemerintahan.. Bila kurang paham langkah Asta cita tanya ke departemen pemerintaan.. Biar dijelaskan apa makna dollar sesungguhnya atas program presiden yang ingin rakyat jangan tergantung mata uang aseng.. Indonesia berperang atas ketergantungan nilai rupiah terhadap dollar.. Karena itu swasembada pangan di kebut hilirisasi dikejar.. Ehhh masih saja kemakan dollar...Kalo emang pemain dollar cinta dollar tetap mau dollar menguasai Indonesia.. Itu tidak sejalan program Asta cita.. Beda menghargai program negara sendiri lantas napa masih di Indonesia bro? Pindah aja agar udah pakai dollar di luar negara sana tanpa melibatkan rupiah kan enak... Kalian ini ya makan minum sandang pangan papan berbisnis semua pakai sumber daya Indonesia.. Ehh kagak cinta mata uang sendiri? Terus panik atas dollar mau sampai kapan.. Kagak bisa import ya stop import..pakailah buatan dalam negri usahakan tanah sendiri atau inovasi sendiri yang kagak tergantung import yang pakai dollar.. Pemerintah meski dollar berapa juga BBM harga stabil kebutuhan pokok ada di stabilkan pakai subsidi.. Yang kalian ribut dollar itu apa?? Jelas jelas kagak ngaruh ke kalangan desa. Nyang ngaruh ke kalian kalian toh kenapa kelimpungan anak sekolah di LN? Atau sekolah swasta anak bayar pakai itungan dollar atau apa?.. Fix.. Kalian yang teriak dollar nih kagak sejalan program presiden berati beda rasa kebangsaan.. Kagak bangga bangsa. ..dan itu Parah.. Presiden bahkan weekend masih bekerja ke ladang panen jagung.. Kalian yang karena dolar kagak bisa jalan jalan murah lagi ke LN teriak gitu kah??? Pindah warga negara aja sekalian bro.. Kalo kagak bisa memahami tujuan murni bangsa Indonesia yang ingin bebenah sehat mandiri dan tidak tergantung aseng. Kebangsaan jeblok kok berjamaah waduhh.. Pusing ya kagak bisa pakai barang branded? Pakai batik murah kagak dolar tuh dipasar klewer.. Kebangsaan jeblok teriak pula.. Ayoo cinta bangsa sendiri. ❤❤😍kedele impor.. Tanam sendiri .. Kok memperkaya negara lain. Jadilah bangsa cerdas bersama presiden kami. Salam etti Mei
74,Gpp warga di desa belanja nya gak pake uang tp pake daun pisang kering 😂
75,Gas lah bang sampe 30rb 🔥👏😂
76,Betul kata prof. Ferry latuhihin.. 😔
77,Ini yang di tunggu...98 Jilid 2 ...memburu pejabat korup...termasuk pencetus MBG...dan pelaksana nya...
78,Gpp orang desa gak pake dollar kata wowo
79,Rupiah sampe ke angka 22rb siap rupiah udah ngga ada arti nya lagi investor asing pada kabur Indonesia bubar
80,"Gpp, masyarakat gak pakai dollar kok. Iya kan?"
81,Oke gas oke gas sampe tembus 50ribu perdolar 🔥🔥🔥🔥🔥👏👏👏hidup jokowi
82,Pemimpin kt 1d1Ot ttl sdh tdk pntas rkyt sdh muak😮
83,Biarin dah semoga bangkrut dan bubar😂😂😂
84,kelasss Rupiah👑 bukannya makin bnyak nominalnya makin bagus ????
85,"Dan yg lebih mengerikan PHK MASSAL nya,,, kalian lebih tau klo udah terjadi PHK massal akibat nya,,, oh tuhan kapan berakhir nya negara ini dari pemimpin dzolim"
86,Itu kan cita cita Presiden kita🔥
87,katanya dollar berapa ribupun ga ngaruh lho.. takabur banget
88,jangan di takuti 20000 sekalian 50000...biar pejabatnya tambah klihatan tololnya
89,ya Allah lindungilah kami yg diblg para pejabat katanya yg ngk punya uang pasti yg jelekjelekin pemerintah 😢 lindungi lah kami
90,😂😂😂 yessssss horeeeee
91,mungkin pemimpin kita itu KTPnya US... jd senang kali rupiahnya anjlok
92,Tuk saat ini beli emas termasuk aman apa kah ?
93,Kacau di 2027
94,"Gapapa kan orang desa gak pakai dolar, kata beliau yang di atas kursi singgasana"
95,"Utk masyarakat lebih hati2 lagi dg lembaga BERIZIN DAN DIAWASI OJK, susah susah kumpulin uang utk investasi eh...ternyata bodong juga. Entah dana nya cuma masuk ke penipu atau memang ada oknum yg terlibat. Tanya @official.kpk ?"
96,Saat ini saja harga sandang pangan sudah naik ...semua serba mahal 😢😢😢emak emak makin menjerit ...😢😢😢
97,Benerlah tuh maksud beliau rakyat desa semestinya pake Dinar dan Dirham yg nilainya tidak berpengaruh sama naik turunnya mata uang fiat
98,Gak apa2 rupiah melemah...yg penting MBG menguat...
99,Ngak apa apa pak presiden ngomong orang desa tidak pake dollar biar saja sampe 30.000 kok🤔🤣
100,Aman Semasih PRESIDEN bilang orang didesa TDK pakai DoLAr......JOGEDiN saja 😂😂😂😂😂😂
101,Ya elah kalau gini terus uang 100 ribu cuma bis beli bakwan 2 biji 😂😂
102,Gonta ganti presiden tapi tambh ancur😢😢😢😢😢.biaya hidup mahl gaji kecil😂😂😂😂😂
103,"Gqpapa , rusak sekalian dulu ,nanti kalo sudah tau rasa ny di 22.000 jadi ga penasaran , klo enak jalani kalo ga enak yang berwenag mikir"
104,Ok gass... HEDOOP JUKUWEE😂😂😂
105,Apa gak ada niat untuk memakzulkan presiden wakanda ini ?
106,"Nepalkan semua pejabat tinggi negara, kerja ga becus!"
107,Santai rakyat desa g pake dolar kok! (Kata si plenger)😂
108,Tembus 22ribu perdolar rupiah tidak bisa diselamat kan
109,Kata lelek ham4 j4wa gak ngaruh krna orang desa gak pake dolar
110,SEMOGA KRISIS BIAR SADAR KABINET OPLOSAN PRABONYOK TERMUL PILIHAN MU
111,Seharusnya president dan seluruh jajarannya malu kecuali muka tembok kagak becus urus negara
112,Kata Wowo org desa ga make dollar kok
113,"Gak papa kok,kan kita didesa gak pake dollar, gitu sihh kata pak presiden 😂"
114,warga des ga pake dolar
115,BENER APA KATA KETUA BEM UGM KAN?? PRESIDENT BODOH GA TAU APA APA DAN GA SADAR NEGARA SEBENTAR LAGI HANCUR DITANGANNYA.! GA BISA KERJA GA TAU APA. YG DIA OMONGIN DAN APA YG DIA KERJAKAN.!!
116,Tenang aja kita punya presiden yang ahli joget 🔥🔥
117,Kata pa Wowo.....kita mah rakyat kecil nggak pake dollar....jadi nggak ngaruh....😂😂
118,Mnuju Indonesia..cemas aja bukn emas
119,Dan si badut wowo wajib turun kursi
120,Desa gk pake dolar katanya
121,58% nAngis di pojokan sambil pegang omprengan MBG yg ada belatung 😂😂😂😂😂
122,Kata prabowok rakyat desa gak pakai dolar 😂😂😂 wajar saja 10 dari 100 😂
123,"Gpp, orang desa gak pakai dollar,..yg penting udah jadi presiden, ..dia pikir orang desa itu dungu semua"
124,"Katanya orang desa gak pake dollar , bangssaatkan dia"
125,Kata Wowo; bodo amat!
126,"Tenang, orang desa ngga pakai dollar 😮"
127,Orang desa' gak pake dolar kok😂
128,Yang penting ok gas jogetinn aja
129,Dollar ke rupiah 22ribu Ringgit ke rupiah 8ribu Sg dollar ke ruliah 15ribu
130,Cuan.. Indonesia.. Smakin.. Bertambah
131,"ASAL BAPAK SENANG Hey antek2 asing,,Negara Bangkrut krn MBG bukan krn perang rudal....Maling Berkedok Government,selamatkan uang pajak rakyat tdk ada yg gratis boss itu duit rakyat....kebijakan pemerintah yg salah membuat rakyat makin susah dan miskin😢😢🔥🔥🙌"
132,Tenang rakyat desa ga pake dolar kok 🤭
133,"""Orang desa ga pake Dollar"" kata orang yang bilang MBG bikin IQ naik"
134,Orang lokal yg NGUTANGIN NEGARA via SBN rupiah mampossssss rugiii
135,Don't panic 🔥
136,"SDH SAATNYA RAKYAT & KAUM TERPELAJAR BANGKIT MELAWAN UTK SEGERA TURUNKAN SI WOWO SEBELUM NEGERI HANCUR LEBUR, SEGERA TURUNKAN.!!!!!!!"
137,Jangan sampe 17rb please.. d stop dlu lah pembuat onarnya
138,KLO kata Wowo gpp org desa soalnya GK pake dolar😂
139,Indonesia bubar kata wowo
140,Bisa 25rb malah 😂
141,Hidup MBG Hidup Swasembada Impor Hidup BOP Hidup Wiwi 😂😂😂 Badut terpilih iya jadi Pemimpin koplak Para 🤡🤡🤡😂🤡😂🤡🚀🚀 Rupiah 🚀🚀🤡😂🤡😂
142,Let's go 🔥🔥🔥
143,"Auto resesi, kebanyakan joget nih rezim"
144,Jabatan pe.mimpin diberikan orang yg tidak tepat
145,"Bubar antek antek asing 😂Indonesia makin melemah para pejabat semakin kaya , rakyat semakin miskin"
146,Ini bukan untuk menakut-nakuti tapi ini peringatan bagi pemerintah yang terkesan kurang tanggap
147,20ribu sudah waktunya ikut jejak mertuanya 😂
148,yang penting MBG ga boleh berhenti demi keberlangsungan gizi anak bangsa 😂
149,ayo saya yakin rupiah pasti bisa 50rb Rp/dollar🤣🤣
150,Penting MBG dan KDMP gass pooolll🤣🤣🤣
151,indonesia sangat emas sekali bung👏😂
152,"Nanti pasti ada yg ngomong, jd analis jgn nakut2in 🤫"
153,Heh goblok. gua kaga perduli sama dolar. yg berguna buat gua dan seluruh bangsa Indonesia cuma Rupiah. dolar lu kaga laku di Indonesia ..di sini uang nya cuma rupiah. ngerti kaga lu tolol
154,18 ribu saja rakyat dah kolep kayak nya 😢
155,Tenang kita punya wapres Gibran 😁😆
156,"Prestasinya prabowo dan gibran ini, harus di ukir di meseum."
157,@prabowo TURUN 😎
158,"Bahkan jika rupiah melemah sampai 50.000 pun, MBG dan KDMP harus tetap jalan. Karena cuannya besar"
159,Yakin dah bakalan tembus 20ribu😂😂😂😂 tambah hancur😂😂😂
160,😂😂😂😂Ayuh lanjut ke 20k
161,"Punya uang 50 rb gk ada apa2nya, belanja 100rb kaya belaja rp1000, belanja uang 1juta kaya belanja 100rb, well, Indonesia makin krisis, Indonesia salah pemimpin, ayo gen z tingkatkan kesadaran mu, siapa pemimpin Indonesia yg sebenarnya, china lebih maju padahal dipimipin komunis,"
162,Gejolak itu pasti akan datang..
163,Iya ga pa sentuh aja ke 22 ribu...
164,Masih sabar ya masyarakat
165,Tembus 22.000 sudah pasti BANJIR DARAH 🩸🩸🩸
166,Gpp ..kan belum tembus 30.000 ayooo woo lanjutkan bikin bubar neraga ini wo
167,Ngeri kali 22 Rb 😂
168,"Klo Kita Kritik pemerintah nanti jawabnya ""Heeyyyyy anteck anteck azeng"" 😂😂😂"
169,Berpegangan yang kuat
170,Makanya gk ada jalan lain yg bisa meyelamatkan semua ini adalah PROYEK MBG DI STOP TIDAK BISA TIDAK WAJIB DI STOP SEBELUM.HANCUR.LEBUR NEGARA INI !
171,Yang bilang harus cinta produk dalam negeri siapa .penuh semangat membara akan buat indonesia makmur .hasilnya eng ing eng
172,NEGARA DI URUS OLEH ORANG ORANG PARTAI..NEGARA DI URUS MAYORITAS LULUSAN SMA..NEGARA DI URUS OLEH ORANG ORANG YANG JUALBELI JABATAN ..NEGARA DI JRUS OLEH KEBANYAKAN IJAZAH PALSU..NEGARA DI URUS OLEH ORANG ORANG MANTAN PENGUASA DULU DAN KETURUNAN NYA..NEGARA DI URUS OLEH PENJILAT PENJILAT PARTAI DAN PENGUASA..NEGARA DI URUS OLIGARKI .NEGARA DI URUS ORANG ORANG TUA YANG ORTODOK.TUNGGU KEHANCURAN NYA
173,"Belii Dollar rame2 SDH 22 jual,, dlu waktu 98 pada iklas sumbangan emas harta para rakyat untuk pak Habibie dlam menguatkan Rupiah, skrng gw yakin rakyat padaogah disuruh bantu2 pemerintah"
174,omon2 di tipu sama bawahannya..pekok
175,"Stop mbg ,kmp ,korupsi yyg ugal ugalan ,hukum yg tak jelas ini semua penyebab rp anjlok hilang nya kepercayaan investor"
176,Gpp.. Toh 2030 kita bubar kan👏👏
177,Bodoh amat yang penting MBG 🔥🔥
178,Dipimpin oleh presiden bodoh yg dipilih oleh kaum goblok 58%
179,2 dolar itu sama dengan gajian 1 bulan😊🤏🤏🤏😂
180,Sudah makzulkan saja
181,sudah waktunya kita menukar uang kita ke dolar🔥
182,"MBG itu penting, negara kita cerah, 🫠🫠🫠"
183,Perbanyak Istighfar kalau gini...
184,"""SELAMAT MALAM, SAHABAT TWITTER, APA KABAR ?"" Ucap ceo mbg 2013"
185,Gass trus wooo. Msh banyak ga kebagian proyek MBG mu tuh
186,Alhamdulillah gua ada $ 10.000 😂
187,Naikkan gaji dan upah indonesia 4×lipat
188,Wihhh luar biasa🔥🔥
189,Mbg yg penting aman
190,Menyala @prabowo sekalinya jdi presiden ..
191,"Ku tunggu di 18 rebu, minggu depan Kan tercapai 😂😂 Hidup MBG"
192,Nunggu bisul meletus
193,Memang ini yang lagi dilakukakan
194,"Janji kampanye prabowo gibran , dollar 5rb . Ternyata mo naik 5rb😢😢"
195,"Bukannya rupiah melemah gegara faktor global ya seperti konflik timur tengah dan harga minyak naik? terus kenapa prabowo yg disalahin??, Bank indonesia aja udah jelasin kalau faktor rupiah melemah karena faktor itu, terus ini kenapa para komennya pada nyalahin prabwo ya. Konteksnya gimana?"
196,"Ok gass,, Ok gass 😢"
197,Ayo kuatkuatan aja 😂
198,Ok gas aja dulu
199,Ayooo Ndut naik lagi ...bisalah 22.000. prestasi si gendut neh ......ini yg katanya Indonesia Terang itu ....Terang NdasMu 💩🐷
200,Inilah klu negra di kuasai org yg tidak kompeten dibidang nya . Hancur di semua sisi ...pjbt mkn kaya raya ..rakyat jelata mkn blangsak . Nah yg lucunya rakyat jelata yg bodoh itu ....malah muja2 penguasa yg memiskin kan hidup mereka ....block
201,Saat nya reformasi
202,Pendukung wowok yg dungu MN paham ini ...otaknya ga akan nyampe
203,Ponakan prabowo dipasang di BI memang untuk ini tujuannya
204,Police diperkuat kurs 50.000 juga masih ok
205,Kaum 58℅ ngga apa dollar naek saya belanja pake rupiah😂😂😂. Bodohnya tak bertepi
206,TENANG AJA TARGET DI 50RB ! 20 TITIK AMAN PERTAMAN PASTI TEMBUSLAH !👏🔥
207,Lebih parah dari krismon 1998
208,😍😍😍 MBG SOLUSINYA 😍😍😍😍😍 OKE GAS 🥰💃 OKE GAS.. 💸💸💸💸 2029 SATU PUTARAN 💸💸💸💸🥂😎 SIREKAP APLIKASINYA 😇😇😇
209,30000 akhir tahun🙏🙏
210,Goceng katanya nanti
211,Ternyata banyak bener anjing peliharaan pemerintol lagi gonggong.. Di iming2 dog food premium sih yah? hehe..
212,Nggak masalah mau naik sampai go cap juga aman kok nkri
213,MENUNGGU GERAKAN 98 JILID II
214,Aminnnnnn Aminnnnn Aminnnnnnn Ya Allah
215,Dapak BoP mata uwang negara Indonesia di caplok dolar AS akibat prsiden palsu
216,"Oww masi jauh itu,, targetnya 28.000 🔥🔥🔥"
217,Solusinya @presidenrepublikindonesia ?
218,kekny senin melemah lagi soalny minyak tmbh mahal lagi
219,"Tenang tenang kita masi pnya mbg dan kopdes,itu smua hnya akal2an aseeeng yg tdk ingin indonesia maju.kata2 aki2 yg dri dlu pngen jdi orang no 1"
220,terpenting pejabat dan keluarganya sejahtera dari hasil keringat pajak rakyat.
221,Tanggung amat 22 rebu😂😂😂😂😂54 rebu sekalian
222,Semangat menuju 100.000 cuma kurang 82k😍😍
223,Buzzer mafia dan koruptor sedang menyerang pemerintah. 🤣🤣🤣
224,Gassss sampe 50rb biar kaum 58% pada sadar
225,Semua sudah ikhlas prabowo gibran turun..gak ada perubahaan malah merosot..nyalahin antek antek asing tp gak intropeksi si tua NPD sama bocah kosong😢 MBG makin kacau tujuannya apalagi kopdes... gregetan
226,Pasti sampe 20an ribuan atau malah lebih kalo liat cara negara diurus kayak sekarang.
227,Makan solusi nya
228,BI yg bner lu shibal
229,50k per dollar wowo ttp joget coy 😂😂😂
230,4w · Edited
231,Hidup MBG Kopdes. Ok Gasss. Sampai Bubar
232,"Kalo mbg bubar baru itu masuk fase krisis, selagi mbg jalan berarti baik2 saja 🙏🏼🤣"
233,Sama dengan ramalan prof ferry
234,Gk ada demo ya
235,"Bingung...... Bingung saja melihat keadaan pemerintah saat ini. Bangsa ini besar tapi pemimpin nya berjiwa kerdil dan bila pidato pasti ada kata2 SEPANJANG SEJARAH .... SEPANJANG SEJARAH BERDIRI NEGRI INI...... Dia lah paling hebat pemimpin di negri ini😂😂 ANEH NYA LAGI DOLLAR UDAH MENGHANCURKAN SENDI EKONOMI NEGARA INI TAPI MAHASISWA KOK BUNGKAM......??? MANA GRAKAN MORAL MAHASISWA, MN KEPEDULIAN MAHASISWA.....??? MANA AKSI MAHASISWA.....??? MN DEMO MAHASISWA ......???? 😮😮😮😂😂😂😂"
236,Gpp... klo dh ada penjarahan bru saya yakin efek dari dolar naik
237,"Sekalinya jd Presiden, amburadulllllll"
238,"Gassss, rupiah ke 50 ribu 😂😂"
239,@prabowo mau kabur lagi ke yaman yah sekarang
240,Kata Jokowi obligasi itu apa?
241,Target $1 = Rp.50.000.
242,Apbila suatu urusan di serahkan kpda yg bukan ahlinya maka tunggu saja kehancuranya
243,Tinggal pindah ke Yuan jangan pake dolar lagi
244,Ya mungkin dg cara ini yg bisa menumbangkan pemerintahan seperti thn 98
245,"Rupiah bisa berfluktuasi, tapi persatuan kita harus tetap stabil. Jangan biarkan kepanikan mengadu domba, dan jangan jadikan saudara sebagai tempat menyalahkan *Gotong royong adalah tampan terbaik saat ekonomi bergejolak. Perdamailah perbedaan, tolak hasutan, dan jaga tali silaturahmi* *Bangsa yang kuat tidak diukur dari mata uangnya, tapi dari cara warganya saling melindungi saat sulit. Mari bersatu, bukan terpecah 😊"
246,terima kasih prabowo
247,Prabowo tau ga sih dia mesti ngapain? Atau tetap keras kepala dg mbg dan kopdes merput nya?
248,ngotot mbg.....bangkrut negaramu...😂😂😂😂
249,Menuju indonesia bubar 😂😂
250,Impor harus ditutup
251,Ngerii sih inih
252,"ATH gess, otw 17.845 ini"
253,Punya presiden cuma bisa pidato mana jelek lagi pidatonya
254,Katanya fundamental bagus tapi rakyat sudah mulai merasakan berat dengan kenaikan semua harga barang
255,Duit Masih Banyak Kata @prabowo
256,"Alhamdulillah semoga secepatnya tembus 30 ribu,biar rakyat oksedus besar besaran keluar negeri jadi TKI, harapan besar terbuka untuk penghasilan TKI."
257,Jogetinja ok gas ok gas 😂
258,Aamiin.. Kencangkan sabuk pengaman.. Kita akan terbang menuju bulan.. Menuju 22.000
259,BODO AMATTT YANG PENTING MBG TERUSSSS JALANNN... SUPAYA BANGSAT2 PIARAAN SI WOWOK ANTENG
260,Menuju Indonesia maju 2030😂😂😂
261,Lah pak purbaya sdh bilang santai ssja sdh di mitigasi he he
262,Presiden & semua pejabat2 layak diganti ... bila ga mampu selesaikan masa krisis negara ...
263,PEMERINTAHANN AMBURADULLLPEMERINTAHANN JAHANAMMM!!!!
264,Klu sdh 20.000 alasan penguasa Indonesia apa ya?
265,Ah Iran bisa ko tetap survive walau dengan mata uang yg lemah.
266,Jika 22 rb...semua pabrik tutup... phk masal... inflasi... trus konoha gelap... lalu mau alasan apa si wowo n gub bi
267,Itu yg wowo mau sama rezimnya biar pundi pundi simpanan dolarnya melonjak
268,"Gpp, porto saya amaan 👏"
269,"Gausah dilebih-lebihkan, tapi ini memang melebihi batas 😞"
270,Yang penting MBG dan kopdes nya jalan
