no,komentar,sentimen,confidence
32,Mana peduli Prabowo mau dollar naik yang penting program dia mbg kopdes berjalan biarpun negara hancur sekalipun😂😂😂😂,Negatif,0.9389
33,Mahasiswa sibuk joget TIKTOK 😂😂😂😂,Negatif,0.95
34,Korupsi gasss pool 👏👏👏 sampai ludes boss Jangan kasih ampun 👌👍,Negatif,0.9888
35,Intinya kalau rupiah udah 20.000 intinya Prabowo wajib jatuh dan segera revolusi & reformasi baru,Negatif,0.8399
36,Kali kabur lagi jangan lupa botinya dibawa juga ya pa,Netral,0.794
37,Akibat punya presiden yg cuman omong kosong mantan napi angkat jdi mentri kabinet napi,Negatif,0.9941
38,‼️🚀SIKATT🚀🚀 #BUBARknDPR #InstiTAIsi💩 💥,Negatif,0.9197
39,"Tenang ktnya bisa 5 rb, kapaaaaaan",Positif,0.9461
40,Percaya deh.. kalau sdh naik susah turunnya.,Positif,0.9814
41,Rp 20rb 👍 👏👏👏,Netral,0.9641
42,"Emang gue pikirin....hidup MBG,, hidup kopdes merah putih 🔥🔥",Negatif,0.7218
43,"17500 baik2 saja, 17600 baik2 saja, 17700 baik2 saja, 22000_______________________",Netral,0.678
44,"Mbg tetap jalan, aman",Positif,0.9705
45,"Jika tembus 22.000, rupiah masih cukup bagus, taeek",Positif,0.9832
46,Mahasiswa mana mahasiswa .........,Negatif,0.995
47,"Yang penting tembus 17.845 dulu secepetnya, baru incer target lainnya.. 🔥🔥🔥",Netral,0.9711
48,Soros klu ingin menurunkan mata uang suatu negara hanya memberikan doktrin ke rakyat tersebut agar melawan pemerintahnya sendiri dgn begitu otomatis mata uang akan melemah dgn sendirinya sama seperti Vietnam yg mata uangnya terendah se asia tenggara krn rakyat Vietnam pernah melawan pemerintah sendiri dan mengakibatkan perang saudara bertahun tahun,Negatif,0.9787
49,Prestasi yang harus diapresiasi 😀,Positif,0.758
50,Yuk bisa naik lagi yukkkk,Netral,0.8147
51,"17.500 per 1 USD adalah batas psikologis pasar, bila itu terlampaui tidak ada lagi trust, orang tdk berani simpan dlm Rupiah krn akan semakin merosot nilainya.",Negatif,0.9909
52,"Mari siapkan BST ,seaman Book, paspor ga ngiler apaa @respitoe , @_robsandy , @jkz_ahmad_nurdin",Positif,0.4977
53,KEGAGALAN TERBESAR setelah 80 TAHUN MERDEKA: GAGAL MEMBANGUN SDM. ❌️ Konoha --> SDM RENDAH: DOYAN KORUPSI-KOLUSI-NEPOTISME + SISTEM & PENEGAKAN HUKUM yang DISFUNGSI + IQ RENDAH + PRODUKTIVITAS & KREATIVITAS RENDAH + BERMENTAL INFERIOR COMPLEX + ANTI KEDISIPLINAN + ANTI SAINS + DOYAN BERKEMBANG BIAK + DOYAN MERUSAK LINGKUNGAN = NEGARA GAGAL. 😏 #TrutHurts,Negatif,0.9696
54,"Acak acakan pak , ampun pak @prabowo 😢😢😢",Negatif,0.9956
55,kata purbaya tenang aja...nanti kita ngutang...,Negatif,0.7796
56,Negara kaya SDA tapi miskin kurs,Negatif,0.9959
57,Maksain sih MBG ngabisin duit negara😂,Negatif,0.9939
58,nggak da masalah Krn orang desa nggak pake dolar ... 😂,Netral,0.4602
59,Nanggung kenapa gak ke 25 rb aja.....?,Negatif,0.9322
60,Mantab...kalau hanya 22 rb..mending 25 rb.....lebih manteb,Positif,0.9925
61,Mantap 🔥🔥🔥🔥 menyalaa rupiah qu 🔥🔥🔥 gass trusss jgn kasih kendor 😂😂😂😂,Positif,0.6764
62,NEGARA KESATUAN SUMATERA RAYA!!!!,Netral,0.9953
63,REPUBLIC DEMOCRATIC OF SUMATRA!!!,Netral,0.9839
64,Mantap. Meledak meletup yang pegang banyak Dollar AS,Positif,0.9422
65,GPP . Ingat pidato Prabowo Subianto ! Petani Indonesia Ng pake dollar ! Apabila benar pernyataan Purbaya ! Mengusir semua investor dari Indonesia! Karena apa ??????😂😂😂😂,Negatif,0.9752
66,Parah Indonesia bisa rusuh nih dolar 22.000,Negatif,0.9955
67,Kalo keos ya pjabat tingal kabur.. Apalagi si wokwok,Negatif,0.9971
68,Biar sampe 220 ribu juga gak pa. Kan kita di desa,Negatif,0.8788
69,"Semoga bisa tembus Rp 45,000/$ makin naik lagi spy gaji kami bisa di nikmati",Positif,0.9797
70,Yg di desa aman,Positif,0.9827
71,banyak yg ketawa tapi ya bisa jadi itu tembus meroket diatas 20.000 😬,Negatif,0.7957
72,Dolar itu hanya untuk kalangan org2 kaya yg suka beli barang2 impor.. bakar doLaarr.. bakaarr🔥,Negatif,0.9491
73,haduhh.. .. Buka mata pak bu.. Mengapa indonesia mau berperang atas dolar..kagak paham program presiden toh...tuhh ada kanal kanal aduan resmi pemerintahan.. Bila kurang paham langkah Asta cita tanya ke departemen pemerintaan.. Biar dijelaskan apa makna dollar sesungguhnya atas program presiden yang ingin rakyat jangan tergantung mata uang aseng.. Indonesia berperang atas ketergantungan nilai rupiah terhadap dollar.. Karena itu swasembada pangan di kebut hilirisasi dikejar.. Ehhh masih saja kemakan dollar...Kalo emang pemain dollar cinta dollar tetap mau dollar menguasai Indonesia.. Itu tidak sejalan program Asta cita.. Beda menghargai program negara sendiri lantas napa masih di Indonesia bro? Pindah aja agar udah pakai dollar di luar negara sana tanpa melibatkan rupiah kan enak... Kalian ini ya makan minum sandang pangan papan berbisnis semua pakai sumber daya Indonesia.. Ehh kagak cinta mata uang sendiri? Terus panik atas dollar mau sampai kapan.. Kagak bisa import ya stop import..pakailah buatan dalam negri usahakan tanah sendiri atau inovasi sendiri yang kagak tergantung import yang pakai dollar.. Pemerintah meski dollar berapa juga BBM harga stabil kebutuhan pokok ada di stabilkan pakai subsidi.. Yang kalian ribut dollar itu apa?? Jelas jelas kagak ngaruh ke kalangan desa. Nyang ngaruh ke kalian kalian toh kenapa kelimpungan anak sekolah di LN? Atau sekolah swasta anak bayar pakai itungan dollar atau apa?.. Fix.. Kalian yang teriak dollar nih kagak sejalan program presiden berati beda rasa kebangsaan.. Kagak bangga bangsa. ..dan itu Parah.. Presiden bahkan weekend masih bekerja ke ladang panen jagung.. Kalian yang karena dolar kagak bisa jalan jalan murah lagi ke LN teriak gitu kah??? Pindah warga negara aja sekalian bro.. Kalo kagak bisa memahami tujuan murni bangsa Indonesia yang ingin bebenah sehat mandiri dan tidak tergantung aseng. Kebangsaan jeblok kok berjamaah waduhh.. Pusing ya kagak bisa pakai barang branded? Pakai batik murah kagak dolar tuh dipasar klewer.. Kebangsaan jeblok teriak pula.. Ayoo cinta bangsa sendiri. ❤❤😍kedele impor.. Tanam sendiri .. Kok memperkaya negara lain. Jadilah bangsa cerdas bersama presiden kami. Salam etti Mei,Negatif,0.9916
74,Gpp warga di desa belanja nya gak pake uang tp pake daun pisang kering 😂,Netral,0.6362
75,Gas lah bang sampe 30rb 🔥👏😂,Netral,0.8728
76,Betul kata prof. Ferry latuhihin.. 😔,Netral,0.6735
77,Ini yang di tunggu...98 Jilid 2 ...memburu pejabat korup...termasuk pencetus MBG...dan pelaksana nya...,Negatif,0.9872
78,Gpp orang desa gak pake dollar kata wowo,Negatif,0.8634
79,Rupiah sampe ke angka 22rb siap rupiah udah ngga ada arti nya lagi investor asing pada kabur Indonesia bubar,Negatif,0.9951
80,"Gpp, masyarakat gak pakai dollar kok. Iya kan?",Negatif,0.849
81,Oke gas oke gas sampe tembus 50ribu perdolar 🔥🔥🔥🔥🔥👏👏👏hidup jokowi,Netral,0.9906
82,Pemimpin kt 1d1Ot ttl sdh tdk pntas rkyt sdh muak😮,Netral,0.9736
83,Biarin dah semoga bangkrut dan bubar😂😂😂,Negatif,0.9791
84,kelasss Rupiah👑 bukannya makin bnyak nominalnya makin bagus ????,Negatif,0.8584
85,"Dan yg lebih mengerikan PHK MASSAL nya,,, kalian lebih tau klo udah terjadi PHK massal akibat nya,,, oh tuhan kapan berakhir nya negara ini dari pemimpin dzolim",Negatif,0.9969
86,Itu kan cita cita Presiden kita🔥,Positif,0.8901
87,katanya dollar berapa ribupun ga ngaruh lho.. takabur banget,Negatif,0.8676
88,jangan di takuti 20000 sekalian 50000...biar pejabatnya tambah klihatan tololnya,Negatif,0.9981
89,ya Allah lindungilah kami yg diblg para pejabat katanya yg ngk punya uang pasti yg jelekjelekin pemerintah 😢 lindungi lah kami,Negatif,0.9169
90,😂😂😂 yessssss horeeeee,Positif,0.9585
91,mungkin pemimpin kita itu KTPnya US... jd senang kali rupiahnya anjlok,Negatif,0.9936
92,Tuk saat ini beli emas termasuk aman apa kah ?,Netral,0.7473
93,Kacau di 2027,Negatif,0.9974
94,"Gapapa kan orang desa gak pakai dolar, kata beliau yang di atas kursi singgasana",Netral,0.6772
95,"Utk masyarakat lebih hati2 lagi dg lembaga BERIZIN DAN DIAWASI OJK, susah susah kumpulin uang utk investasi eh...ternyata bodong juga. Entah dana nya cuma masuk ke penipu atau memang ada oknum yg terlibat. Tanya @official.kpk ?",Negatif,0.9959
96,Saat ini saja harga sandang pangan sudah naik ...semua serba mahal 😢😢😢emak emak makin menjerit ...😢😢😢,Negatif,0.988
97,Benerlah tuh maksud beliau rakyat desa semestinya pake Dinar dan Dirham yg nilainya tidak berpengaruh sama naik turunnya mata uang fiat,Negatif,0.3982
98,Gak apa2 rupiah melemah...yg penting MBG menguat...,Negatif,0.6536
99,Ngak apa apa pak presiden ngomong orang desa tidak pake dollar biar saja sampe 30.000 kok🤔🤣,Negatif,0.9501
100,Aman Semasih PRESIDEN bilang orang didesa TDK pakai DoLAr......JOGEDiN saja 😂😂😂😂😂😂,Negatif,0.8343
101,Ya elah kalau gini terus uang 100 ribu cuma bis beli bakwan 2 biji 😂😂,Negatif,0.7442
102,Gonta ganti presiden tapi tambh ancur😢😢😢😢😢.biaya hidup mahl gaji kecil😂😂😂😂😂,Negatif,0.9138
103,"Gqpapa , rusak sekalian dulu ,nanti kalo sudah tau rasa ny di 22.000 jadi ga penasaran , klo enak jalani kalo ga enak yang berwenag mikir",Negatif,0.9607
104,Ok gass... HEDOOP JUKUWEE😂😂😂,Negatif,0.5585
105,Apa gak ada niat untuk memakzulkan presiden wakanda ini ?,Negatif,0.997
106,"Nepalkan semua pejabat tinggi negara, kerja ga becus!",Negatif,0.9959
107,Santai rakyat desa g pake dolar kok! (Kata si plenger)😂,Negatif,0.9373
108,Tembus 22ribu perdolar rupiah tidak bisa diselamat kan,Netral,0.8563
109,Kata lelek ham4 j4wa gak ngaruh krna orang desa gak pake dolar,Negatif,0.985
110,SEMOGA KRISIS BIAR SADAR KABINET OPLOSAN PRABONYOK TERMUL PILIHAN MU,Negatif,0.9506
111,Seharusnya president dan seluruh jajarannya malu kecuali muka tembok kagak becus urus negara,Negatif,0.998
112,Kata Wowo org desa ga make dollar kok,Negatif,0.8504
113,"Gak papa kok,kan kita didesa gak pake dollar, gitu sihh kata pak presiden 😂",Negatif,0.4892
114,warga des ga pake dolar,Negatif,0.8261
115,BENER APA KATA KETUA BEM UGM KAN?? PRESIDENT BODOH GA TAU APA APA DAN GA SADAR NEGARA SEBENTAR LAGI HANCUR DITANGANNYA.! GA BISA KERJA GA TAU APA. YG DIA OMONGIN DAN APA YG DIA KERJAKAN.!!,Negatif,0.9966
116,Tenang aja kita punya presiden yang ahli joget 🔥🔥,Positif,0.7766
117,Kata pa Wowo.....kita mah rakyat kecil nggak pake dollar....jadi nggak ngaruh....😂😂,Negatif,0.6576
118,Mnuju Indonesia..cemas aja bukn emas,Negatif,0.9914
119,Dan si badut wowo wajib turun kursi,Netral,0.8931
120,Desa gk pake dolar katanya,Negatif,0.9902
121,58% nAngis di pojokan sambil pegang omprengan MBG yg ada belatung 😂😂😂😂😂,Netral,0.5981
122,Kata prabowok rakyat desa gak pakai dolar 😂😂😂 wajar saja 10 dari 100 😂,Negatif,0.73
123,"Gpp, orang desa gak pakai dollar,..yg penting udah jadi presiden, ..dia pikir orang desa itu dungu semua",Negatif,0.9981
124,"Katanya orang desa gak pake dollar , bangssaatkan dia",Negatif,0.9682
125,Kata Wowo; bodo amat!,Negatif,0.9973
126,"Tenang, orang desa ngga pakai dollar 😮",Netral,0.8257
127,Orang desa' gak pake dolar kok😂,Netral,0.8038
128,Yang penting ok gas jogetinn aja,Netral,0.4488
129,Dollar ke rupiah 22ribu Ringgit ke rupiah 8ribu Sg dollar ke ruliah 15ribu,Netral,0.9851
130,Cuan.. Indonesia.. Smakin.. Bertambah,Negatif,0.7802
131,"ASAL BAPAK SENANG Hey antek2 asing,,Negara Bangkrut krn MBG bukan krn perang rudal....Maling Berkedok Government,selamatkan uang pajak rakyat tdk ada yg gratis boss itu duit rakyat....kebijakan pemerintah yg salah membuat rakyat makin susah dan miskin😢😢🔥🔥🙌",Negatif,0.989
132,Tenang rakyat desa ga pake dolar kok 🤭,Netral,0.3948
133,"""Orang desa ga pake Dollar"" kata orang yang bilang MBG bikin IQ naik",Negatif,0.9817
134,Orang lokal yg NGUTANGIN NEGARA via SBN rupiah mampossssss rugiii,Negatif,0.9975
135,Don't panic 🔥,Netral,0.8545
136,"SDH SAATNYA RAKYAT & KAUM TERPELAJAR BANGKIT MELAWAN UTK SEGERA TURUNKAN SI WOWO SEBELUM NEGERI HANCUR LEBUR, SEGERA TURUNKAN.!!!!!!!",Negatif,0.9863
137,Jangan sampe 17rb please.. d stop dlu lah pembuat onarnya,Negatif,0.9737
138,KLO kata Wowo gpp org desa soalnya GK pake dolar😂,Netral,0.499
139,Indonesia bubar kata wowo,Netral,0.6485
140,Bisa 25rb malah 😂,Netral,0.9508
141,Hidup MBG Hidup Swasembada Impor Hidup BOP Hidup Wiwi 😂😂😂 Badut terpilih iya jadi Pemimpin koplak Para 🤡🤡🤡😂🤡😂🤡🚀🚀 Rupiah 🚀🚀🤡😂🤡😂,Negatif,0.9568
142,Let's go 🔥🔥🔥,Netral,0.966
143,"Auto resesi, kebanyakan joget nih rezim",Negatif,0.9949
144,Jabatan pe.mimpin diberikan orang yg tidak tepat,Negatif,0.9962
145,"Bubar antek antek asing 😂Indonesia makin melemah para pejabat semakin kaya , rakyat semakin miskin",Negatif,0.994
146,Ini bukan untuk menakut-nakuti tapi ini peringatan bagi pemerintah yang terkesan kurang tanggap,Negatif,0.9938
147,20ribu sudah waktunya ikut jejak mertuanya 😂,Netral,0.9725
148,yang penting MBG ga boleh berhenti demi keberlangsungan gizi anak bangsa 😂,Positif,0.7752
149,ayo saya yakin rupiah pasti bisa 50rb Rp/dollar🤣🤣,Netral,0.744
150,Penting MBG dan KDMP gass pooolll🤣🤣🤣,Positif,0.7387
151,indonesia sangat emas sekali bung👏😂,Positif,0.9646
152,"Nanti pasti ada yg ngomong, jd analis jgn nakut2in 🤫",Negatif,0.7489
153,Heh goblok. gua kaga perduli sama dolar. yg berguna buat gua dan seluruh bangsa Indonesia cuma Rupiah. dolar lu kaga laku di Indonesia ..di sini uang nya cuma rupiah. ngerti kaga lu tolol,Negatif,0.9979
154,18 ribu saja rakyat dah kolep kayak nya 😢,Negatif,0.9555
155,Tenang kita punya wapres Gibran 😁😆,Netral,0.9194
156,"Prestasinya prabowo dan gibran ini, harus di ukir di meseum.",Netral,0.5405
157,@prabowo TURUN 😎,Netral,0.9091
158,"Bahkan jika rupiah melemah sampai 50.000 pun, MBG dan KDMP harus tetap jalan. Karena cuannya besar",Netral,0.6409
159,Yakin dah bakalan tembus 20ribu😂😂😂😂 tambah hancur😂😂😂,Positif,0.6486
160,😂😂😂😂Ayuh lanjut ke 20k,Netral,0.9865
161,"Punya uang 50 rb gk ada apa2nya, belanja 100rb kaya belaja rp1000, belanja uang 1juta kaya belanja 100rb, well, Indonesia makin krisis, Indonesia salah pemimpin, ayo gen z tingkatkan kesadaran mu, siapa pemimpin Indonesia yg sebenarnya, china lebih maju padahal dipimipin komunis,",Negatif,0.9965
162,Gejolak itu pasti akan datang..,Negatif,0.9025
163,Iya ga pa sentuh aja ke 22 ribu...,Negatif,0.5747
164,Masih sabar ya masyarakat,Positif,0.9411
165,Tembus 22.000 sudah pasti BANJIR DARAH 🩸🩸🩸,Negatif,0.7049
166,Gpp ..kan belum tembus 30.000 ayooo woo lanjutkan bikin bubar neraga ini wo,Negatif,0.9922
167,Ngeri kali 22 Rb 😂,Negatif,0.987
168,"Klo Kita Kritik pemerintah nanti jawabnya ""Heeyyyyy anteck anteck azeng"" 😂😂😂",Negatif,0.9691
169,Berpegangan yang kuat,Positif,0.9121
170,Makanya gk ada jalan lain yg bisa meyelamatkan semua ini adalah PROYEK MBG DI STOP TIDAK BISA TIDAK WAJIB DI STOP SEBELUM.HANCUR.LEBUR NEGARA INI !,Negatif,0.9857
171,Yang bilang harus cinta produk dalam negeri siapa .penuh semangat membara akan buat indonesia makmur .hasilnya eng ing eng,Positif,0.9941
172,NEGARA DI URUS OLEH ORANG ORANG PARTAI..NEGARA DI URUS MAYORITAS LULUSAN SMA..NEGARA DI URUS OLEH ORANG ORANG YANG JUALBELI JABATAN ..NEGARA DI JRUS OLEH KEBANYAKAN IJAZAH PALSU..NEGARA DI URUS OLEH ORANG ORANG MANTAN PENGUASA DULU DAN KETURUNAN NYA..NEGARA DI URUS OLEH PENJILAT PENJILAT PARTAI DAN PENGUASA..NEGARA DI URUS OLIGARKI .NEGARA DI URUS ORANG ORANG TUA YANG ORTODOK.TUNGGU KEHANCURAN NYA,Negatif,0.9927
173,"Belii Dollar rame2 SDH 22 jual,, dlu waktu 98 pada iklas sumbangan emas harta para rakyat untuk pak Habibie dlam menguatkan Rupiah, skrng gw yakin rakyat padaogah disuruh bantu2 pemerintah",Positif,0.8138
174,omon2 di tipu sama bawahannya..pekok,Negatif,0.9981
175,"Stop mbg ,kmp ,korupsi yyg ugal ugalan ,hukum yg tak jelas ini semua penyebab rp anjlok hilang nya kepercayaan investor",Negatif,0.997
176,Gpp.. Toh 2030 kita bubar kan👏👏,Negatif,0.9137
177,Bodoh amat yang penting MBG 🔥🔥,Negatif,0.9977
178,Dipimpin oleh presiden bodoh yg dipilih oleh kaum goblok 58%,Negatif,0.9976
179,2 dolar itu sama dengan gajian 1 bulan😊🤏🤏🤏😂,Netral,0.6609
180,Sudah makzulkan saja,Negatif,0.9946
181,sudah waktunya kita menukar uang kita ke dolar🔥,Netral,0.9911
182,"MBG itu penting, negara kita cerah, 🫠🫠🫠",Positif,0.9568
183,Perbanyak Istighfar kalau gini...,Positif,0.5845
184,"""SELAMAT MALAM, SAHABAT TWITTER, APA KABAR ?"" Ucap ceo mbg 2013",Netral,0.9894
185,Gass trus wooo. Msh banyak ga kebagian proyek MBG mu tuh,Negatif,0.985
186,Alhamdulillah gua ada $ 10.000 😂,Netral,0.7932
187,Naikkan gaji dan upah indonesia 4×lipat,Netral,0.9428
188,Wihhh luar biasa🔥🔥,Positif,0.9847
189,Mbg yg penting aman,Positif,0.98
190,Menyala @prabowo sekalinya jdi presiden ..,Negatif,0.9727
191,"Ku tunggu di 18 rebu, minggu depan Kan tercapai 😂😂 Hidup MBG",Netral,0.7784
192,Nunggu bisul meletus,Negatif,0.9945
193,Memang ini yang lagi dilakukakan,Netral,0.8183
194,"Janji kampanye prabowo gibran , dollar 5rb . Ternyata mo naik 5rb😢😢",Netral,0.9782
195,"Bukannya rupiah melemah gegara faktor global ya seperti konflik timur tengah dan harga minyak naik? terus kenapa prabowo yg disalahin??, Bank indonesia aja udah jelasin kalau faktor rupiah melemah karena faktor itu, terus ini kenapa para komennya pada nyalahin prabwo ya. Konteksnya gimana?",Negatif,0.9954
196,"Ok gass,, Ok gass 😢",Netral,0.8768
197,Ayo kuatkuatan aja 😂,Negatif,0.4955
198,Ok gas aja dulu,Netral,0.8324
199,Ayooo Ndut naik lagi ...bisalah 22.000. prestasi si gendut neh ......ini yg katanya Indonesia Terang itu ....Terang NdasMu 💩🐷,Negatif,0.9668
200,Inilah klu negra di kuasai org yg tidak kompeten dibidang nya . Hancur di semua sisi ...pjbt mkn kaya raya ..rakyat jelata mkn blangsak . Nah yg lucunya rakyat jelata yg bodoh itu ....malah muja2 penguasa yg memiskin kan hidup mereka ....block,Negatif,0.9966
201,Saat nya reformasi,Negatif,0.6028
202,Pendukung wowok yg dungu MN paham ini ...otaknya ga akan nyampe,Negatif,0.9968
203,Ponakan prabowo dipasang di BI memang untuk ini tujuannya,Netral,0.9779
204,Police diperkuat kurs 50.000 juga masih ok,Netral,0.9854
205,Kaum 58℅ ngga apa dollar naek saya belanja pake rupiah😂😂😂. Bodohnya tak bertepi,Negatif,0.9889
206,TENANG AJA TARGET DI 50RB ! 20 TITIK AMAN PERTAMAN PASTI TEMBUSLAH !👏🔥,Positif,0.5852
207,Lebih parah dari krismon 1998,Negatif,0.9967
208,😍😍😍 MBG SOLUSINYA 😍😍😍😍😍 OKE GAS 🥰💃 OKE GAS.. 💸💸💸💸 2029 SATU PUTARAN 💸💸💸💸🥂😎 SIREKAP APLIKASINYA 😇😇😇,Netral,0.9831
209,30000 akhir tahun🙏🙏,Netral,0.9312
210,Goceng katanya nanti,Netral,0.9023
211,Ternyata banyak bener anjing peliharaan pemerintol lagi gonggong.. Di iming2 dog food premium sih yah? hehe..,Negatif,0.9945
212,Nggak masalah mau naik sampai go cap juga aman kok nkri,Positif,0.9918
213,MENUNGGU GERAKAN 98 JILID II,Netral,0.9909
214,Aminnnnnn Aminnnnn Aminnnnnnn Ya Allah,Positif,0.9576
215,Dapak BoP mata uwang negara Indonesia di caplok dolar AS akibat prsiden palsu,Negatif,0.9729
216,"Oww masi jauh itu,, targetnya 28.000 🔥🔥🔥",Netral,0.8278
217,Solusinya @presidenrepublikindonesia ?,Netral,0.9885
218,kekny senin melemah lagi soalny minyak tmbh mahal lagi,Negatif,0.989
219,"Tenang tenang kita masi pnya mbg dan kopdes,itu smua hnya akal2an aseeeng yg tdk ingin indonesia maju.kata2 aki2 yg dri dlu pngen jdi orang no 1",Negatif,0.8433
220,terpenting pejabat dan keluarganya sejahtera dari hasil keringat pajak rakyat.,Positif,0.9019
221,Tanggung amat 22 rebu😂😂😂😂😂54 rebu sekalian,Negatif,0.9137
